id;name;regency_name;province_name;regency_id
1010001;TEUPAH SELATAN;SIMEULUE;Aceh;1101
1010002;SIMEULUE TIMUR;Simeulue;Aceh;1101
1012500;KUALA MAKMUR;Simeulue;Aceh;1101
1010004;TEUPAH BARAT;Simeulue;Aceh;1101
1010003;TEUPAH TENGAH;Simeulue;Aceh;1101
1010005;SIMEULUE TENGAH;Simeulue;Aceh;1101
1010007;TELUK DALAM;Simeulue;Aceh;1101
1012582;LUAN BALU;Simeulue;Aceh;1101
1010006;SIMEULUE CUT;Simeulue;Aceh;1101
1010008;SALANG;Simeulue;Aceh;1101
1010009;SIMEULUE BARAT;Simeulue;Aceh;1101
1010010;SANGGIRAN;Simeulue;Aceh;1101
1010011;ALAFAN;Simeulue;Aceh;1101
1012583;LAMEREM;Simeulue;Aceh;1101
1010012;PULAU BANYAK;Aceh Singkil;Aceh;1102
1010013;PULAU BANYAK BARAT;Aceh Singkil;Aceh;1102
1010014;SINGKIL;Aceh Singkil;Aceh;1102
1010015;SINGKIL UTARA;Aceh Singkil;Aceh;1102
1010016;KUALA BARU;Aceh Singkil;Aceh;1102
1010017;SIMPANG KANAN;Aceh Singkil;Aceh;1102
1012531;KUTA TINGGI;Aceh Singkil;Aceh;1102
1010018;GUNUNG MERIAH;Aceh Singkil;Aceh;1102
1010019;DANAU PARIS;Aceh Singkil;Aceh;1102
1010020;SURO;Aceh Singkil;Aceh;1102
1010021;SINGKOHOR;Aceh Singkil;Aceh;1102
1010022;KUTA BAHARU;Aceh Singkil;Aceh;1102
1010023;TRUMON;Aceh Selatan;Aceh;1103
1010024;LADANG RIMBA;Aceh Selatan;Aceh;1103
1010025;KRUENG LUAS;Aceh Selatan;Aceh;1103
1010026;BAKONGAN;Aceh Selatan;Aceh;1103
1010027;BUKIT GADENG;Aceh Selatan;Aceh;1103
1010028;SEUBADEH;Aceh Selatan;Aceh;1103
1010029;KLUET SELATAN;Aceh Selatan;Aceh;1103
1010030;DURIAN KAWAN;Aceh Selatan;Aceh;1103
1010031;KLUET TIMUR;Aceh Selatan;Aceh;1103
1010032;KLUET UTARA;Aceh Selatan;Aceh;1103
1010034;KUALA BA'U;Aceh Selatan;Aceh;1103
1010033;KAMPONG PAYA;Aceh Selatan;Aceh;1103
1010035;LADANG TUHA;Aceh Selatan;Aceh;1103
1012523;UJONG PADANG RASIAN;Aceh Selatan;Aceh;1103
1010036;MANGGAMAT;Aceh Selatan;Aceh;1103
1010037;TAPAKTUAN;Aceh Selatan;Aceh;1103
1010038;LHOK BENGKUANG;Aceh Selatan;Aceh;1103
1010039;SAMADUA;Aceh Selatan;Aceh;1103
1010040;SAWANG;Aceh Selatan;Aceh;1103
1010041;MEUKEK;Aceh Selatan;Aceh;1103
1010042;DRIEN JALO;Aceh Selatan;Aceh;1103
1010043;LABUHAN HAJI;Aceh Selatan;Aceh;1103
1010044;PEULUMAT;Aceh Selatan;Aceh;1103
1010045;BLANGKEJEREN;Aceh Selatan;Aceh;1103
1010046;NGKEREN;Aceh Tenggara;Aceh;1104
1010047;LAWE SUMUR;Aceh Tenggara;Aceh;1104
1010048;UNING SIGUR-GUR;Aceh Tenggara;Aceh;1104
1010049;TANOH ALAS;Aceh Tenggara;Aceh;1104
1010050;LAWE SIGALA-GALA;Aceh Tenggara;Aceh;1104
1010051;LAWE PERBUNGA;Aceh Tenggara;Aceh;1104
1010052;GURGUR PARDOMUAN;Aceh Tenggara;Aceh;1104
1010053;SUKA MAKMUR;Aceh Tenggara;Aceh;1104
1010054;LOUSER;Aceh Tenggara;Aceh;1104
1010055;NAGA TIMBUL;Aceh Tenggara;Aceh;1104
1010056;BIAK MULI;Aceh Tenggara;Aceh;1104
1010057;LAWE DUA;Aceh Tenggara;Aceh;1104
1010058;KOTA KUTACANE;Aceh Tenggara;Aceh;1104
1012656;BABUSSALAM;Aceh Tenggara;Aceh;1104
1010059;KUTAMBARU;Aceh Tenggara;Aceh;1104
1010060;NATAM;Aceh Tenggara;Aceh;1104
1010061;MAMAS;Aceh Tenggara;Aceh;1104
1010062;JAMBUR LAK-LAK;Aceh Tenggara;Aceh;1104
1010063;DELENG POKHISEN;Aceh Tenggara;Aceh;1104
1010064;LOKOP;Aceh Timur;Aceh;1105
1010065;SIMPANG JERNIH;Aceh Timur;Aceh;1105
1010066;PEUNARON;Aceh Timur;Aceh;1105
1010067;BIREM BAYEUN;Aceh Timur;Aceh;1105
1010068;RANTAU SELAMAT;Aceh Timur;Aceh;1105
1010069;SUNGAI RAYA;Aceh Timur;Aceh;1105
1010070;PEUREULAK;Aceh Timur;Aceh;1105
1012580;LEUBOK PEMPENG;Aceh Timur;Aceh;1105
1010071;PEUREULAK TIMUR;Aceh Timur;Aceh;1105
1010072;PEUREULAK BARAT;Aceh Timur;Aceh;1105
1010073;RANTO PEUREULAK;Aceh Timur;Aceh;1105
1010074;IDI RAYEUK;Aceh Timur;Aceh;1105
1010075;PEUDAWA;Aceh Timur;Aceh;1105
1010076;KEUDE GEUROBAK;Aceh Timur;Aceh;1105
1010077;IDI TUNONG;Aceh Timur;Aceh;1105
1010078;DARUL IHSAN;Aceh Timur;Aceh;1105
1010079;IDI TIMUR;Aceh Timur;Aceh;1105
