province_id;province_name;regency_id;regency_name;sub_district_id;sub_district_name;village_code;village_id;village_name;type
0;NASIONAL;0;NASIONAL;0;NASIONAL;0;0;NASIONAL;Nasional
11;PROV. ACEH;1100;PROV. ACEH;1100000;PROV. ACEH;0;1100000000;PROV. ACEH;Provinsi
11;PROV. ACEH;1108;KAB. ACEH BESAR;1108000;KAB. ACEH BESAR;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1109;KAB. PIDIE;1109000;KAB. PIDIE;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1110;KAB. BIREUEN;1110000;KAB. BIREUEN;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1111;KAB. ACEH UTARA;1111000;KAB. ACEH UTARA;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1112;KAB. ACEH BARAT DAYA;1112000;KAB. ACEH BARAT DAYA;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1113;KAB. GAYO LUES;1113000;KAB. GAYO LUES;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1114;KAB. ACEH TAMIANG;1114000;KAB. ACEH TAMIANG;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1115;KAB. NAGAN RAYA;1115000;KAB. NAGAN RAYA;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1116;KAB. ACEH JAYA;1116000;KAB. ACEH JAYA;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1117;KAB. BENER MERIAH;1117000;KAB. BENER MERIAH;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1118;KAB. PIDIE JAYA;1118000;KAB. PIDIE JAYA;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1171;KOTA BANDA ACEH;1171000;KOTA BANDA ACEH;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1172;KOTA SABANG;1172000;KOTA SABANG;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1173;KOTA LANGSA;1173000;KOTA LANGSA;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1174;KOTA LHOKSEUMAWE;1174000;KOTA LHOKSEUMAWE;0;1100000000;PROV. ACEH;Kabupaten
11;PROV. ACEH;1175;KOTA SUBULUSSALAM;1175000;KOTA SUBULUSSALAM;0;1100000000;PROV. ACEH;Kabupaten
12;PROV. SUMATERA UTARA;1200;PROV. SUMATERA UTARA;1200000;PROV. SUMATERA UTARA;0;1200000000;PROV. SUMATERA UTARA;Provinsi
12;PROV. SUMATERA UTARA;1201;KAB. NIAS;1200000;KAB. NIAS;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1202;KAB. MANDAILING NATAL;1200000;KAB. MANDAILING NATAL;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1203;KAB. TAPANULI SELATAN;1200000;KAB. TAPANULI SELATAN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1204;KAB. TAPANULI TENGAH;1200000;KAB. TAPANULI TENGAH;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1205;KAB. TAPANULI UTARA;1200000;KAB. TAPANULI UTARA;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1206;KAB. TOBA SAMOSIR;1200000;KAB. TOBA SAMOSIR;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1207;KAB. LABUHAN BATU;1200000;KAB. LABUHAN BATU;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1208;KAB. ASAHAN;1200000;KAB. ASAHAN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1209;KAB. SIMALUNGUN;1200000;KAB. SIMALUNGUN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1210;KAB. DAIRI;1200000;KAB. DAIRI;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1211;KAB. KARO;1200000;KAB. KARO;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1212;KAB. DELI SERDANG;1200000;KAB. DELI SERDANG;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1213;KAB. LANGKAT;1200000;KAB. LANGKAT;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1214;KAB. NIAS SELATAN;1200000;KAB. NIAS SELATAN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1215;KAB. HUMBANG HASUNDUTAN;1200000;KAB. HUMBANG HASUNDUTAN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1216;KAB. PAKPAK BHARAT;1200000;KAB. PAKPAK BHARAT;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1217;KAB. SAMOSIR;1200000;KAB. SAMOSIR;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1218;KAB. SERDANG BEDAGAI;1200000;KAB. SERDANG BEDAGAI;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1219;KAB. BATU BARA;1200000;KAB. BATU BARA;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1220;KAB. PADANG LAWAS UTARA;1200000;KAB. PADANG LAWAS UTARA;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1221;KAB. PADANG LAWAS;1200000;KAB. PADANG LAWAS;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1222;KAB. LABUHAN BATU SELATAN;1200000;KAB. LABUHAN BATU SELATAN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1223;KAB. LABUHAN BATU UTARA;1200000;KAB. LABUHAN BATU UTARA;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1224;KAB. NIAS UTARA;1200000;KAB. NIAS UTARA;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1225;KAB. NIAS BARAT;1200000;KAB. NIAS BARAT;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1271;KOTA SIBOLGA;1200000;KOTA SIBOLGA;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1272;KOTA TANJUNG BALAI;1200000;KOTA TANJUNG BALAI;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1273;KOTA PEMATANG SIANTAR;1200000;KOTA PEMATANG SIANTAR;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1274;KOTA TEBING TINGGI;1200000;KOTA TEBING TINGGI;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1275;KOTA MEDAN;1200000;KOTA MEDAN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1276;KOTA BINJAI;1200000;KOTA BINJAI;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1277;KOTA PADANGSIDIMPUAN;1200000;KOTA PADANGSIDIMPUAN;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
12;PROV. SUMATERA UTARA;1278;KOTA GUNUNGSITOLI;1200000;KOTA GUNUNGSITOLI;0;1200000000;PROV. SUMATERA UTARA;Kabupaten
13;PROV. SUMATERA BARAT;1300;PROV. SUMATERA BARAT;1300000;PROV. SUMATERA BARAT;0;1300000000;PROV. SUMATERA BARAT;Provinsi
13;PROV. SUMATERA BARAT;1301;KAB. KEPULAUAN MENTAWAI;1300000;KAB. KEPULAUAN MENTAWAI;0;1300000000;KAB. KEPULAUAN MENTAWAI;Kabupaten
13;PROV. SUMATERA BARAT;1302;KAB. PESISIR SELATAN;1300000;KAB. PESISIR SELATAN;0;1300000000;KAB. PESISIR SELATAN;Kabupaten
13;PROV. SUMATERA BARAT;1303;KAB. SOLOK;1300000;KAB. SOLOK;0;1300000000;KAB. SOLOK;Kabupaten
13;PROV. SUMATERA BARAT;1304;KAB. SIJUNJUNG;1300000;KAB. SIJUNJUNG;0;1300000000;KAB. SIJUNJUNG;Kabupaten
13;PROV. SUMATERA BARAT;1305;KAB. TANAH DATAR;1300000;KAB. TANAH DATAR;0;1300000000;KAB. TANAH DATAR;Kabupaten
13;PROV. SUMATERA BARAT;1306;KAB. PADANG PARIAMAN;1300000;KAB. PADANG PARIAMAN;0;1300000000;KAB. PADANG PARIAMAN;Kabupaten
13;PROV. SUMATERA BARAT;1307;KAB. AGAM;1300000;KAB. AGAM;0;1300000000;KAB. AGAM;Kabupaten
13;PROV. SUMATERA BARAT;1308;KAB. LIMA PULUH KOTA;1300000;KAB. LIMA PULUH KOTA;0;1300000000;KAB. LIMA PULUH KOTA;Kabupaten
13;PROV. SUMATERA BARAT;1309;KAB. PASAMAN;1300000;KAB. PASAMAN;0;1300000000;KAB. PASAMAN;Kabupaten
13;PROV. SUMATERA BARAT;1310;KAB. SOLOK SELATAN;1300000;KAB. SOLOK SELATAN;0;1300000000;KAB. SOLOK SELATAN;Kabupaten
